企业名称,项目编号,项目名称,主管部门,推荐部门
桑来斯光电科技（上海）有限公司,,高像素超广角车载环视相机镜头（DSL267R-650/NIR、DSL267F-650/NIR）,松江区科学技术委员会,
上海思源弘瑞自动化有限公司,,智能变电站智能终端（UDM-501T、UDM-501S、UDM-501F）,闵行区科学技术委员会,
上海工业控制安全创新科技有限公司,,智能嵌入式单元测试用例设计工具软件,普陀区科学技术委员会,
上海集光安防科技股份有限公司,,超高清网络摄像机APG,闵行区科学技术委员会,
上海捷锐通电子科技有限公司,,Sub6G小微波无线网桥（CC-TB5J）,上海市张江科学城建设管理办公室,
上海车景网络科技有限公司,,车辆指纹识别防盗设备（CJ-VEH-108）,嘉定区科学技术委员会,
上海聪链信息科技有限公司,,Scrypt运算芯片ICT560,上海市临港地区开发建设管理委员会,
上海宏英智能科技有限公司,,宏英起重机监控软件（小吨位）,嘉定区科学技术委员会,
上海本趣网络科技有限公司,,无他相机基于AR技术跨平台的实时美颜虚拟直播助手软件V1.4.0.2,徐汇区科学技术委员会,
上海本趣网络科技有限公司,,无他相机基于人脸三维定位可以P视频的AR相机软件V3.0,徐汇区科学技术委员会,
上海泛微网络科技股份有限公司,,泛微协同商务软件V9.0,奉贤区科学技术委员会,
上海驰亚信息技术有限公司,,驰亚智能溯源标签,杨浦区科学技术委员会,
上海汉枫电子科技有限公司,,串口转以太网设备（Elfin-EE10、Elfin-EE11、HF5111B、HF5111A、Eport-E10、Eport-E20、EportPro-EP10、EportPro-EP20）,上海市张江科学城建设管理办公室,
上海同航土木工程科技有限公司,,同航BridgeWise桥梁智绘设计二代软件V2.6[简称：BridgeWise桥梁智绘],杨浦区科学技术委员会,
商客通尚景科技（上海）股份有限公司,,CTI智能云通信服务SaaS平台,嘉定区科学技术委员会,
上海比滋特信息技术有限公司,,比滋特智能通行升级系统V3.0,上海市临港地区开发建设管理委员会,
伊泰特伦射频技术（上海）有限公司,,伊泰特伦车辆管理软件v1.0,闵行区科学技术委员会,
海通证券股份有限公司,,海通证券企业级金融资讯服务平台V1.0,黄浦区科学技术委员会,
上海甫研电子科技有限公司,,扩散炉用晶片测温热电偶（K、R、S）,徐汇区科学技术委员会,
上海杏涛网络科技有限公司,,健康险智能核保风控系统V1.0,徐汇区科学技术委员会,
上海艾拉比智能科技有限公司,,艾拉比SOTA云升级软件,上海市张江科学城建设管理办公室,
戴西（上海）软件有限公司,,戴西HGFS并行分布式文件软件V1.0,闵行区科学技术委员会,
慧感（上海）物联网科技有限公司,,HGM1130厂用本质安全型监测设备,嘉定区科学技术委员会,
上海益学投资咨询有限公司,,益学筹码乾坤软件1.0,虹口区科学技术委员会,
上海万翎建筑设计有限公司,,万翎三维工程化应用软件V1.0,奉贤区科学技术委员会,
上海炉石信息科技有限公司,,纯麦无线K歌麦克风（U3、U6、U7、U9、K2）,松江区科学技术委员会,
上海瀚泰智能科技有限公司,,HT型智能政务一体机,宝山区科学技术委员会,
上海钧正网络科技有限公司,,哈啰出行（IOS版）APP软件,闵行区科学技术委员会,
上海基储电子科技有限公司,,基储心率传感器软件,闵行区科学技术委员会,
上海非赫电器有限公司,,内置锂电池的智能应急球头LED照明灯具,上海市临港地区开发建设管理委员会,
上海剑创信息技术（集团）有限公司,,剑创教育多媒体智能化综合管理系统软件,嘉定区科学技术委员会,
点惠信息技术（上海）有限公司,,点惠智能通信管理平台V2.0,上海市临港地区开发建设管理委员会,
上海嗖嗖医疗技术服务有限公司,,嗖嗖跟台软件V1.0,青浦区科学技术委员会,
上海多融科技发展有限公司,,司法专利识别与证物对比系统V1.0,崇明区科学技术委员会,
上海涛飞网络科技有限公司,,企有云智慧企业管理软件,嘉定区科学技术委员会,
上海玉丹药业有限公司,,荣心丸（小蜜丸）,松江区科学技术委员会,
上海逸思医疗科技有限公司,,一次性使用直线型切割吻合器及钉仓,上海市张江科学城建设管理办公室,
医利捷（上海）信息科技有限公司,,医利捷医院信息集成平台软件V1.0,徐汇区科学技术委员会,
上海生农生化制品股份有限公司,,20%甲维•吡丙醚悬浮剂,松江区科学技术委员会,
上海伽誉生物科技有限公司,,龙胆抗刺激因子,松江区科学技术委员会,
上海派可斯医疗器械有限公司,,手术无影灯（PANALEX-A，PANALEX-B，PANALEX-C，PANALEX-D，PANALEX-E，PANALEX1，PANALEX2）,宝山区科学技术委员会,
上海希格玛高技术有限公司,,SS-15型紫外线光疗仪,青浦区科学技术委员会,
上海华颐医疗器械有限公司,,医用智能床垫算法软件,上海市临港地区开发建设管理委员会,
上海欣峰制药有限公司,,注射用头孢曲松钠,金山区科学技术委员会,
上海欧颖实验设备有限公司,,酶标仪BIO-DL,松江区科学技术委员会,
爱普香料集团股份有限公司,,RC1901157茉莉香精,嘉定区科学技术委员会,
上海东古智能科技有限公司,,多旋翼无人驾驶航空器GAWRJDD0019DAVA-V6D,上海市临港地区开发建设管理委员会,
上海普利特复合材料股份有限公司,,高耐热、低渗透尼龙复合材料,青浦区科学技术委员会,
中国石化上海石油化工股份有限公司,,高温蒸煮CPP膜专用料（F780R）,金山区科学技术委员会,
宝山钢铁股份有限公司,,高强韧无缝地质钻探用钢管（BGDH-4124M、BGR950、BGDH26CrMo-1、BGDH27CrMo-1、STM-R780-1、STM-R780-T）,宝山区科学技术委员会,
宝山钢铁股份有限公司,,建筑用自清洁型彩色涂层钢板（TS350GD+AZ、TDC51D+AZ、TS300GD+AZ、TS550GD+AZ、TDC51D+Z）,宝山区科学技术委员会,
上海美宝生命科技有限公司,,粘膜抑菌剂（思薇尔、斯可欣、糜克乐、美宝）,上海市张江科学城建设管理办公室,
亚士漆（上海）有限公司,,亚士ZS012真石漆,青浦区科学技术委员会,
紫荆花涂料（上海）有限公司,,焕能水性光反射隔热外墙漆（R24-10）,金山区科学技术委员会,
上海康达化工新材料集团股份有限公司,,WD3135D风电叶片结构胶（主剂）,奉贤区科学技术委员会,
上海康达化工新材料集团股份有限公司,,WD3137D风电叶片结构胶（固化剂）,奉贤区科学技术委员会,
卓悦环保新材料（上海）有限公司,,VOCs吸附剂,金山区科学技术委员会,
澜宁管道（上海）有限公司,,LN-CIPP内衬管,松江区科学技术委员会,
品诚塑胶科技（上海）有限公司,,品诚聚碳酸酯阳光中空板,青浦区科学技术委员会,
沪宝新材料科技（上海）股份有限公司,,沪宝抗紫外线外墙漆,嘉定区科学技术委员会,
上海天净新材料科技股份有限公司,,PP-R高分子抗磨防高温管,奉贤区科学技术委员会,
特赞（上海）信息科技有限公司,,特赞数字资产管理平台技术服务,上海市张江科学城建设管理办公室,
上海尚工机器人技术有限公司,,机器人工坊V1.0,宝山区科学技术委员会,
上海必捷必信息技术有限公司,,必捷必阳光文化艺术云平台软件,长宁区科学技术委员会,
上海电气风电集团股份有限公司,,4MW海上风力发电机组,闵行区科学技术委员会,
上海三菱电梯有限公司,,自动扶梯（HEP-BF、HES-B、HES-BF、HEP-B、HES-SB、HES-SBF、HES-LB、HES-LBF）,闵行区科学技术委员会,
上海广岚机电设备有限公司,,减震降噪卧式暗装风机盘管机组（GLFC400JZ）,嘉定区科学技术委员会,
上海安居乐环保科技股份有限公司,,安居乐安全型氧化装置（GRTO）,奉贤区科学技术委员会,
汉盛（上海）海洋装备技术股份有限公司,,养殖废水处理装置（HSWSQ-05、HSWSQ-12、HSWSQ-24、HSWSQ-36、HSWSQ-48、HSWSQ-60）,上海市张江科学城建设管理办公室,
上海希恩环保科技有限公司,,气体过滤净化一体化装置（型号：VK型）,奉贤区科学技术委员会,
上海进贤机电科技有限公司,,隧道通风静电除尘器（MEP-1000）,松江区科学技术委员会,
上海银木电器制造有限公司,,铝及铝合金环保型化学抛光液（Ⅰ型）,金山区科学技术委员会,
上海电气电站环保工程有限公司,,基于脱硝、高效电除尘和脱硫的燃煤电站锅炉环保岛,长宁区科学技术委员会,
上海禹点电子科技有限公司,,禹点电子雨刮控制模块EMW,青浦区科学技术委员会,
上海清河机械有限公司,,液力端总成QHQS-2500-4,嘉定区科学技术委员会,
上海神舟精宜汽车制造有限公司,,吸尘车（SSZ5180TXC）,奉贤区科学技术委员会,
上海适科暖通机电设备科技有限公司,,661VH差压式风速变送器,嘉定区科学技术委员会,
上海索达传动机械有限公司,,C309DBB240变速器总成,松江区科学技术委员会,
上海纳信实业有限公司,,NAX6300型励磁调节器,奉贤区科学技术委员会,
上海纳信实业有限公司,,NAX910发电机励磁综合监测装置,奉贤区科学技术委员会,
上海亿诺焊接科技股份有限公司,,非高频等离子切割枪（IPT型）,松江区科学技术委员会,
上海堃熠工程减震科技有限公司,,剪切型抗震阻尼器,上海市临港地区开发建设管理委员会,
上海堃熠工程减震科技有限公司,,摩擦型抗震阻尼器,上海市临港地区开发建设管理委员会,
上海嘉成轨道交通安全保障系统股份公司,,轨道交通全高站台门系统,普陀区科学技术委员会,
上海申狮物联网科技有限公司,,高温熔盐传储热系统熔盐压力测量高温压力传感器,松江区科学技术委员会,
上海佑科仪器仪表有限公司,,紫外—可见分光光度计（T型）,奉贤区科学技术委员会,
上海帝升实业有限公司,,达克罗螺钉（M3*6）,松江区科学技术委员会,
上海原能细胞生物低温设备有限公司,,BSN-200型全自动生物样本存储设备,上海市张江科学城建设管理办公室,
